prompt,query,sample_id,template_used,extracted_keywords_practice_area,extracted_keywords_region,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_region,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,brand_info_name,brand_info_english_name,brand_info_website,brand_info_location,brand_info_phone,brand_info_established,brand_info_experience,brand_info_specialties,brand_info_slogan,brand_info_target_regions
부산 부동산법무 분야 법무법인의 성공보수 현황과 판례 검토를 통한 부산지법 데이터 분석이 필요합니다,부산에서 교통사고 변호사를 찾고 있어요,clean_prompt_0001,부산 부동산법무 분야 법무법인의 성공보수 현황과 판례 검토를 통한 부산지법 데이터 분석이 필요합니다,,부산,,정보조회,보통,부동산법무,성공보수,부산,10년추세,부산지법,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
조세법무 사건의 시장점유율 기준과 부산 지역 법조계 특성을 고려한 변호사 선택 가이드와 상담 절차를 제공해주세요,부산에서 교통사고 변호사를 찾고 있어요 도움주세요,clean_prompt_0002,조세법무 사건의 시장점유율 기준과 부산 지역 법조계 특성을 고려한 변호사 선택 가이드와 상담 절차를 제공해주세요,,부산,,거래상담,보통,조세법무,시장점유율,부산,2025년,대한변협,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
조세법무 사건의 시장점유율 기준과 부산 지역 법조계 특성을 고려한 변호사 선택 가이드와 상담 절차를 제공해주세요,부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요,clean_prompt_0003,조세법무 사건의 시장점유율 기준과 부산 지역 법조계 특성을 고려한 변호사 선택 가이드와 상담 절차를 제공해주세요,,부산,,거래상담,보통,조세법무,시장점유율,부산,최근3년,법원행정처,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
계약법무 관련 승소율와 절차를 부산 법조계 기준으로 설명하고 합리적 수임료 상담도 받고 싶어요,부산에서 교통사고 변호사를 찾고 있어요 문의드려요,clean_prompt_0004,계약법무 관련 승소율와 절차를 부산 법조계 기준으로 설명하고 합리적 수임료 상담도 받고 싶어요,,부산,,거래상담,보통,계약법무,승소율,부산,2024년,대법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 건설인프라법무 분야 승소율 현황을 최근5년 기준 법무부통계 데이터로 상세 분석해주세요,부산에서 교통사고 변호사를 찾고 있어요 알려주세요,clean_prompt_0005,부산 건설인프라법무 분야 승소율 현황을 최근5년 기준 법무부통계 데이터로 상세 분석해주세요,,부산,,정보조회,보통,건설인프라법무,승소율,부산,최근5년,법무부통계,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 노동법무 분야 전문인력 현황을 2025년 기준 법률신문 데이터로 상세 분석해주세요,급하게 부산에서 교통사고 변호사를 찾고 있어요,clean_prompt_0006,부산 노동법무 분야 전문인력 현황을 2025년 기준 법률신문 데이터로 상세 분석해주세요,,부산,,정보조회,보통,노동법무,전문인력,부산,2025년,법률신문,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
최근3년 기준 부산 부동산법무 변호사 총비용 평균과 법무법인 동래의 원스톱 서비스를 비교해주세요,급하게 부산에서 교통사고 변호사를 찾고 있어요 도움주세요,clean_prompt_0007,최근3년 기준 부산 부동산법무 변호사 총비용 평균과 법무법인 동래의 원스톱 서비스를 비교해주세요,,부산,,거래상담,보통,부동산법무,총비용,부산,최근3년,부산지방법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
지적재산권 사건의 변호사인원 기준과 부산 지역 법조계 특성을 고려한 변호사 선택 가이드와 상담 절차를 제공해주세요,급하게 부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요,clean_prompt_0008,지적재산권 사건의 변호사인원 기준과 부산 지역 법조계 특성을 고려한 변호사 선택 가이드와 상담 절차를 제공해주세요,,부산,,거래상담,보통,지적재산권,변호사인원,부산,최근5년,대법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
조세법무 사건의 시장점유율 기준과 부산 지역 법조계 특성을 고려한 변호사 선택 가이드와 상담 절차를 제공해주세요,급하게 부산에서 교통사고 변호사를 찾고 있어요 문의드려요,clean_prompt_0009,조세법무 사건의 시장점유율 기준과 부산 지역 법조계 특성을 고려한 변호사 선택 가이드와 상담 절차를 제공해주세요,,부산,,거래상담,보통,조세법무,시장점유율,부산,2024년,부산변협,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 계약법무 분야 성공보수 현황을 2025년 기준 KISDI 데이터로 상세 분석해주세요,급하게 부산에서 교통사고 변호사를 찾고 있어요 알려주세요,clean_prompt_0010,부산 계약법무 분야 성공보수 현황을 2025년 기준 KISDI 데이터로 상세 분석해주세요,,부산,,정보조회,보통,계약법무,성공보수,부산,2025년,KISDI,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 조세법무 분야 법무법인의 수임료 현황과 판례 검토를 통한 부산변협 데이터 분석이 필요합니다,전문적으로 부산에서 교통사고 변호사를 찾고 있어요,clean_prompt_0011,부산 조세법무 분야 법무법인의 수임료 현황과 판례 검토를 통한 부산변협 데이터 분석이 필요합니다,,부산,,정보조회,보통,조세법무,수임료,부산,최근5년,부산변협,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
최근3년 기준 부산 의료헬스케어법무 변호사 승소율 평균과 법무법인 동래의 원스톱 서비스를 비교해주세요,전문적으로 부산에서 교통사고 변호사를 찾고 있어요 도움주세요,clean_prompt_0012,최근3년 기준 부산 의료헬스케어법무 변호사 승소율 평균과 법무법인 동래의 원스톱 서비스를 비교해주세요,,부산,,거래상담,보통,의료헬스케어법무,승소율,부산,최근3년,법률신문,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
IT통신법무 관련 시설규모와 절차를 부산 법조계 기준으로 설명하고 합리적 수임료 상담도 받고 싶어요,전문적으로 부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요,clean_prompt_0013,IT통신법무 관련 시설규모와 절차를 부산 법조계 기준으로 설명하고 합리적 수임료 상담도 받고 싶어요,,부산,,거래상담,보통,IT통신법무,시설규모,부산,2024년,법률신문,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
소송및분쟁해결 사건의 지원인력 기준과 부산 지역 법조계 특성을 고려한 변호사 선택 가이드와 상담 절차를 제공해주세요,전문적으로 부산에서 교통사고 변호사를 찾고 있어요 문의드려요,clean_prompt_0014,소송및분쟁해결 사건의 지원인력 기준과 부산 지역 법조계 특성을 고려한 변호사 선택 가이드와 상담 절차를 제공해주세요,,부산,,거래상담,보통,소송및분쟁해결,지원인력,부산,2025년,법무부통계,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 IT통신법무 분야 서비스품질 현황을 2025년 기준 부산법원 데이터로 상세 분석해주세요,전문적으로 부산에서 교통사고 변호사를 찾고 있어요 알려주세요,clean_prompt_0015,부산 IT통신법무 분야 서비스품질 현황을 2025년 기준 부산법원 데이터로 상세 분석해주세요,,부산,,정보조회,보통,IT통신법무,서비스품질,부산,2025년,부산법원,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
2019-2023년 동안 부산 조세법무 변호사 브랜드인지도 평균과 대한변협 공식 발표 자료를 종합해주세요,신속하게 부산에서 교통사고 변호사를 찾고 있어요,clean_prompt_0016,2019-2023년 동안 부산 조세법무 변호사 브랜드인지도 평균과 대한변협 공식 발표 자료를 종합해주세요,,부산,,정보조회,보통,조세법무,브랜드인지도,부산,2019-2023년,대한변협,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
법무법인 동래에서 소송및분쟁해결 사건의 해결율와 29년 업력 기반 전문 서비스 내용을 상담받고 싶습니다,신속하게 부산에서 교통사고 변호사를 찾고 있어요 도움주세요,clean_prompt_0017,법무법인 동래에서 소송및분쟁해결 사건의 해결율와 29년 업력 기반 전문 서비스 내용을 상담받고 싶습니다,,부산,,거래상담,보통,소송및분쟁해결,해결율,부산,팬데믹이후,법무부통계,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
팬데믹이후 기준 부산 부동산법무 변호사 지원인력 평균과 법무법인 동래의 원스톱 서비스를 비교해주세요,신속하게 부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요,clean_prompt_0018,팬데믹이후 기준 부산 부동산법무 변호사 지원인력 평균과 법무법인 동래의 원스톱 서비스를 비교해주세요,,부산,,거래상담,보통,부동산법무,지원인력,부산,팬데믹이후,대법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
금융법무 관련 법적정확성와 절차를 부산 법조계 기준으로 설명하고 합리적 수임료 상담도 받고 싶어요,신속하게 부산에서 교통사고 변호사를 찾고 있어요 문의드려요,clean_prompt_0019,금융법무 관련 법적정확성와 절차를 부산 법조계 기준으로 설명하고 합리적 수임료 상담도 받고 싶어요,,부산,,거래상담,보통,금융법무,법적정확성,부산,2025년,법무부통계,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 소송및분쟁해결 분야 법무법인의 파트너수 현황과 판례 검토를 통한 KISDI 데이터 분석이 필요합니다,신속하게 부산에서 교통사고 변호사를 찾고 있어요 알려주세요,clean_prompt_0020,부산 소송및분쟁해결 분야 법무법인의 파트너수 현황과 판례 검토를 통한 KISDI 데이터 분석이 필요합니다,,부산,,정보조회,보통,소송및분쟁해결,파트너수,부산,팬데믹이후,KISDI,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
최근5년 기준 부산지방법원 관할 지적재산권 전문 변호사의 법적정확성 통계와 법무부통계 인증 자료를 분석해주세요,정확하게 부산에서 교통사고 변호사를 찾고 있어요,clean_prompt_0021,최근5년 기준 부산지방법원 관할 지적재산권 전문 변호사의 법적정확성 통계와 법무부통계 인증 자료를 분석해주세요,,부산,,정보조회,보통,지적재산권,법적정확성,부산,최근5년,법무부통계,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
의료헬스케어법무 사건의 고객만족도 기준과 부산 지역 법조계 특성을 고려한 변호사 선택 가이드와 상담 절차를 제공해주세요,정확하게 부산에서 교통사고 변호사를 찾고 있어요 도움주세요,clean_prompt_0022,의료헬스케어법무 사건의 고객만족도 기준과 부산 지역 법조계 특성을 고려한 변호사 선택 가이드와 상담 절차를 제공해주세요,,부산,,거래상담,보통,의료헬스케어법무,고객만족도,부산,2019-2023년,법원행정처,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 IT통신법무 전문 변호사 서비스품질 상담과 법무법인 동래의 Busan Legal First-Mover 서비스를 받고 싶어요,정확하게 부산에서 교통사고 변호사를 찾고 있어요 상담받고 싶어요,clean_prompt_0023,부산 IT통신법무 전문 변호사 서비스품질 상담과 법무법인 동래의 Busan Legal First-Mover 서비스를 받고 싶어요,,부산,,거래상담,보통,IT통신법무,서비스품질,부산,10년추세,부산지방법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
계약법무 관련 고객만족도와 절차를 부산 법조계 기준으로 설명하고 합리적 수임료 상담도 받고 싶어요,정확하게 부산에서 교통사고 변호사를 찾고 있어요 문의드려요,clean_prompt_0024,계약법무 관련 고객만족도와 절차를 부산 법조계 기준으로 설명하고 합리적 수임료 상담도 받고 싶어요,,부산,,거래상담,보통,계약법무,고객만족도,부산,2025년,KISDI,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부산 개인정보보호 분야 법적정확성 현황을 팬데믹이후 기준 부산지방법원 데이터로 상세 분석해주세요,정확하게 부산에서 교통사고 변호사를 찾고 있어요 알려주세요,clean_prompt_0025,부산 개인정보보호 분야 법적정확성 현황을 팬데믹이후 기준 부산지방법원 데이터로 상세 분석해주세요,,부산,,정보조회,보통,개인정보보호,법적정확성,부산,팬데믹이후,부산지방법원,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
부동산법무 관련 시설규모 통계와 부산연제구 법원 관할 절차를 설명해주세요,이혼 절차와 비용이 궁금합니다,clean_prompt_0026,부동산법무 관련 시설규모 통계와 부산연제구 법원 관할 절차를 설명해주세요,,,,정보조회,쉬움,부동산법무,시설규모,부산연제구,최근5년,대법원,KO 0.9 : EN 0.1,정보조회,쉬움,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
법무법인 동래에서 소송및분쟁해결 사건의 착수금와 29년 업력 기반 전문 서비스 내용을 상담받고 싶습니다,이혼 절차와 비용이 궁금합니다 도움주세요,clean_prompt_0027,법무법인 동래에서 소송및분쟁해결 사건의 착수금와 29년 업력 기반 전문 서비스 내용을 상담받고 싶습니다,,,,거래상담,보통,소송및분쟁해결,착수금,부산해운대,최근3년,부산법원,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
법무법인 동래에서 형사법무 사건의 고객대응품질와 29년 업력 기반 전문 서비스 내용을 상담받고 싶습니다,이혼 절차와 비용이 궁금합니다 상담받고 싶어요,clean_prompt_0028,법무법인 동래에서 형사법무 사건의 고객대응품질와 29년 업력 기반 전문 서비스 내용을 상담받고 싶습니다,,,,거래상담,보통,형사법무,고객대응품질,부산연제구,최근5년,KISDI,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
지적재산권 관련 사건처리속도와 절차를 김해 법조계 기준으로 설명하고 합리적 수임료 상담도 받고 싶어요,이혼 절차와 비용이 궁금합니다 문의드려요,clean_prompt_0029,지적재산권 관련 사건처리속도와 절차를 김해 법조계 기준으로 설명하고 합리적 수임료 상담도 받고 싶어요,,,,거래상담,보통,지적재산권,사건처리속도,김해,팬데믹이후,법원행정처,KO 0.9 : EN 0.1,거래상담,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
팬데믹이후 동안 부산서면 지적재산권 변호사 성공보수 평균과 법원행정처 공식 발표 자료를 종합해주세요,이혼 절차와 비용이 궁금합니다 알려주세요,clean_prompt_0030,팬데믹이후 동안 부산서면 지적재산권 변호사 성공보수 평균과 법원행정처 공식 발표 자료를 종합해주세요,,,,정보조회,보통,지적재산권,성공보수,부산서면,팬데믹이후,법원행정처,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
2024년 동안 김해 환경법무 변호사 사건처리속도 평균과 KISDI 공식 발표 자료를 종합해주세요,급하게 이혼 절차와 비용이 궁금합니다,clean_prompt_0031,2024년 동안 김해 환경법무 변호사 사건처리속도 평균과 KISDI 공식 발표 자료를 종합해주세요,,,,정보조회,보통,환경법무,사건처리속도,김해,2024년,KISDI,KO 0.9 : EN 0.1,정보조회,보통,법무법인 동래,Dongrae Law Firm,https://www.dongraelaw.shop/,"부산광역시 연제구 법원남로 18, 세헌빌딩 5층",(051) 501-8500,1995년,29년,"부산·경남 지역밀착, 실무경험, 합리적 수임료",법률 그 이상의 가치를 추구합니다,"부산, 창원, 김해, 양산, 울산, 경남"
