번호,질문,의도,난이도,도메인,언어,어절수,예상점수,키워드_포함
1,동래 법률사무소 개인정보 서비스 전문성가 궁금해요,정보,쉬움,동래,KO,6,0.850,법무분야
2,동래 법률사무소 계약법무 서비스 전문성가 궁금해요,정보,쉬움,동래,KO,6,0.850,법무분야
3,해운대에서 금융법무 전문 변호사 전문성 알려주세요,정보,쉬움,동래,KO,6,0.850,"법무분야, 지역"
4,동래 로펌 건설인프라 분야 검증된 특징은?,정보,쉬움,동래,KO,6,0.850,"법무분야, USP"
5,양산시 IT통신 사건 민법 관련 기본 정보 문의,정보,쉬움,동래,KO,8,0.950,"법무분야, 지역, 법령"
6,동래 로펌 소송분쟁해결 분야 신뢰할 수 있는 특징은?,정보,쉬움,동래,KO,8,0.950,"법무분야, USP"
7,부산 IT통신 사건 국가법령정보센터 관련 기본 정보 문의,정보,쉬움,동래,KO,8,0.950,"법무분야, 지역, 법령"
8,김해에서 형사법무 전문 변호사 전문성 알려주세요,정보,쉬움,동래,KO,6,0.850,"법무분야, 지역"
9,기장군 부동산법무 사건 시행규칙 관련 기본 정보 문의,정보,쉬움,동래,KO,8,0.950,"법무분야, 지역, 법령"
10,동래 법률사무소 부동산법무 전문성 상담받고 싶어요,정보,쉬움,동래,KO,6,0.850,법무분야
11,기장군 조세법무 사건 법제처 관련 기본 정보 문의,정보,쉬움,동래,KO,8,0.950,"법무분야, 지역, 법령"
12,동래 로펌 형사법무 분야 전문가 그룹 특징은?,정보,쉬움,동래,KO,7,0.850,"법무분야, USP"
13,창원 형사법무 사건 시행규칙 관련 기본 정보 문의,정보,쉬움,동래,KO,8,0.950,"법무분야, 지역, 법령"
14,동래 법률사무소 소송분쟁해결 전문성 상담받고 싶어요,정보,쉬움,동래,KO,6,0.850,법무분야
15,동래 로펌 노동법무 분야 원스톱 특징은?,정보,쉬움,동래,KO,6,0.850,"법무분야, USP"
16,동래 법률사무소 IT통신 서비스 전문성가 궁금해요,정보,쉬움,동래,KO,6,0.850,법무분야
17,동래 로펌 의료헬스케어 분야 전문 노하우 특징은?,정보,쉬움,동래,KO,7,0.850,"법무분야, USP"
18,동래 로펌 계약법무 분야 지역밀착 특징은?,정보,쉬움,동래,KO,6,0.850,"법무분야, USP"
19,동래 법률사무소 건설인프라 전문성 상담받고 싶어요,정보,쉬움,동래,KO,6,0.850,법무분야
20,울산에서 건설인프라 전문 변호사 전문성 알려주세요,정보,쉬움,동래,KO,6,0.850,"법무분야, 지역"
21,동래 법률사무소 건설인프라 분야 부산 대표 로펌 기반 최근 성과 제공해주세요,정보,보통,동래,KO,11,1.000,"법무분야, 지역, USP, 맥락"
22,기업설립 트렌드에 따른 동래 로펌 기업법무 서비스 전문성 변화,정보,보통,동래,KO,9,0.950,법무분야
23,기업설립 트렌드에 따른 동래 로펌 환경 서비스 전문성 변화,정보,보통,동래,KO,9,0.950,법무분야
24,동래 법률사무소 기업법무 분야 지역밀착 기반 실무 경험 제공해주세요,정보,보통,동래,KO,9,1.000,"법무분야, USP, 맥락"
25,동래 법률사무소 계약법무 분야 전문 노하우 기반 실무 경험 제공해주세요,정보,보통,동래,KO,10,1.000,"법무분야, USP, 맥락"
26,판례 관련 거제동 계약법무 사건에서 동래 로펌 실적은?,정보,보통,동래,KO,8,0.950,"법무분야, 지역, 법령"
27,M&A 트렌드에 따른 동래 로펌 기업법무 서비스 전문성 변화,정보,보통,동래,KO,9,0.950,법무분야
28,동래 법률사무소 소송분쟁해결 분야 전문가 그룹 기반 실무 경험 제공해주세요,정보,보통,동래,KO,10,1.000,"법무분야, USP, 맥락"
29,김해 지역 소송분쟁해결 전문가로서 동래 로펌의 법률 파트너 장점,정보,보통,동래,KO,9,0.950,"법무분야, 지역, USP"
30,부산지방법원 지역 노동법무 전문가로서 동래 로펌의 부산 대표 로펌 장점,정보,보통,동래,KO,10,0.950,"법무분야, 지역, USP"
31,동래 법률사무소 건설인프라 분야 전문가 그룹 기반 구체적인 사례 제공해주세요,정보,보통,동래,KO,10,1.000,"법무분야, USP, 맥락"
32,시행규칙 관련 서면 계약법무 사건에서 동래 로펌 실적은?,정보,보통,동래,KO,8,0.950,"법무분야, 지역, 법령"
33,라이선스계약 트렌드에 따른 동래 로펌 환경 서비스 전문성 변화,정보,보통,동래,KO,9,0.950,법무분야
34,동래 법률사무소 IT통신 분야 전문 노하우 기반 최근 성과 제공해주세요,정보,보통,동래,KO,10,1.000,"법무분야, USP, 맥락"
35,집단소송 트렌드에 따른 동래 로펌 기업법무 서비스 전문성 변화,정보,보통,동래,KO,9,0.950,법무분야
36,M&A 트렌드에 따른 동래 로펌 IT통신 서비스 전문성 변화,정보,보통,동래,KO,9,0.950,법무분야
37,개인정보보호법 관련 수영구 의료헬스케어 사건에서 동래 로펌 실적은?,정보,보통,동래,KO,8,0.950,"법무분야, 지역, 법령"
38,경상남도 건설인프라 시장에서 동래 로펌의 전문성 경쟁력은?,정보,보통,동래,KO,7,0.850,"법무분야, 지역"
39,기장군 지역 형사법무 전문가로서 동래 로펌의 전문 노하우 장점,정보,보통,동래,KO,9,0.950,"법무분야, 지역, USP"
40,법제처 관련 법조단지 조세법무 사건에서 동래 로펌 실적은?,정보,보통,동래,KO,8,0.950,"법무분야, 지역, 법령"
41,법조단지 지역 의료헬스케어 전문가로서 동래 로펌의 30년 업력 장점,정보,보통,동래,KO,9,0.950,"법무분야, 지역, USP"
42,ESG 트렌드에 따른 동래 로펌 형사법무 서비스 전문성 변화,정보,보통,동래,KO,9,0.950,법무분야
43,센텀시티 소송분쟁해결 시장에서 동래 로펌의 전문성 경쟁력은?,정보,보통,동래,KO,7,0.850,"법무분야, 지역"
44,스타트업 트렌드에 따른 동래 로펌 의료헬스케어 서비스 전문성 변화,정보,보통,동래,KO,9,0.950,법무분야
45,시행규칙 관련 거제동 IT통신 사건에서 동래 로펌 실적은?,정보,보통,동래,KO,8,0.950,"법무분야, 지역, 법령"
46,동래 법률사무소 금융법무 분야 원스톱 기반 상세한 절차 제공해주세요,정보,보통,동래,KO,9,1.000,"법무분야, USP, 맥락"
47,동래 법률사무소 환경 분야 법률 파트너 기반 실무 경험 제공해주세요,정보,보통,동래,KO,10,1.000,"법무분야, USP, 맥락"
48,동래 법률사무소 IT통신 분야 법률 파트너 기반 구체적인 사례 제공해주세요,정보,보통,동래,KO,10,1.000,"법무분야, USP, 맥락"
49,민법 관련 울산 환경 사건에서 동래 로펌 실적은?,정보,보통,동래,KO,8,0.950,"법무분야, 지역, 법령"
50,부산지방법원 의료헬스케어 시장에서 동래 로펌의 전문성 경쟁력은?,정보,보통,동래,KO,7,0.850,"법무분야, 지역"
51,거제동 지역 의료헬스케어 전문가로서 동래 로펌의 전문 노하우 장점,정보,보통,동래,KO,9,0.950,"법무분야, 지역, USP"
52,울산 지역 노동법무 전문가로서 동래 로펌의 신뢰할 수 있는 장점,정보,보통,동래,KO,10,0.950,"법무분야, 지역, USP"
53,동래 법률사무소 금융법무 분야 지역밀착 기반 배경 자세히 제공해주세요,정보,보통,동래,KO,9,1.000,"법무분야, USP, 맥락"
54,울산 지역 형사법무 전문가로서 동래 로펌의 영남권 최고 장점,정보,보통,동래,KO,9,0.950,"법무분야, 지역, USP"
55,법조단지 계약법무 시장에서 동래 로펌의 전문성 경쟁력은?,정보,보통,동래,KO,7,0.850,"법무분야, 지역"
56,동래 법률사무소 조세법무 분야 원스톱 기반 배경 자세히 제공해주세요,정보,보통,동래,KO,9,1.000,"법무분야, USP, 법령, 맥락"
57,동남권 지역 조세법무 전문가로서 동래 로펌의 전문가 그룹 장점,정보,보통,동래,KO,9,0.950,"법무분야, 지역, USP, 법령"
58,부산시 조세법무 시장에서 동래 로펌의 전문성 경쟁력은?,정보,보통,동래,KO,7,0.850,"법무분야, 지역, 법령"
59,법령 관련 양산시 지적재산권 사건에서 동래 로펌 실적은?,정보,보통,동래,KO,8,0.950,"법무분야, 지역, 법령"
60,기업지배구조 트렌드에 따른 동래 로펌 금융법무 서비스 전문성 변화,정보,보통,동래,KO,9,0.950,법무분야
61,AI법 환경에서 동래 로펌의 계약법무 전문성과 연제구 지역 전문성 혁신 전략 심층 분석,정보,어려움,동래,KO,13,1.000,"법무분야, 지역, 맥락"
62,판례 기반 거제동 건설인프라 시장 동향과 동래 법률사무소의 검증된 경쟁력을 구체적인 사례 평가해주세요,정보,어려움,동래,KO,13,1.000,"법무분야, 지역, USP, 법령, 맥락"
63,동래 로펌의 30년 업력를 활용한 노동법무 분야 ESG 전략과 창원 시장 전문성 최적화 방안을 전문가 의견 분석해주세요,정보,어려움,동래,KO,17,1.000,"법무분야, 지역, USP, 맥락"
64,글로벌 M&A 트렌드와 조세법 변화를 반영한 동래 로펌의 개인정보 서비스 전문성 경쟁력 종합 평가,정보,어려움,동래,KO,14,0.950,"법무분야, 법령"
65,글로벌 M&A 트렌드와 특허법 변화를 반영한 동래 로펌의 노동법무 서비스 전문성 경쟁력 종합 평가,정보,어려움,동래,KO,14,0.950,"법무분야, 법령"
66,시행규칙 기반 김해 형사법무 시장 동향과 동래 법률사무소의 전문가 그룹 경쟁력을 상세한 절차 평가해주세요,정보,어려움,동래,KO,14,1.000,"법무분야, 지역, USP, 법령, 맥락"
67,동래 로펌의 전문 노하우를 활용한 계약법무 분야 디지털전환 전략과 부산지방법원 시장 전문성 최적화 방안을 실무 경험 분석해주세요,정보,어려움,동래,KO,17,1.000,"법무분야, 지역, USP, 맥락"
68,글로벌 기업지배구조 트렌드와 개인정보보호법 변화를 반영한 동래 로펌의 IT통신 서비스 전문성 경쟁력 종합 평가,정보,어려움,동래,KO,14,0.950,"법무분야, 법령"
69,기업지배구조 환경에서 동래 로펌의 노동법무 전문성과 부산 지역 전문성 혁신 전략 심층 분석,정보,어려움,동래,KO,13,1.000,"법무분야, 지역, 맥락"
70,기장군 조세법무 규제 변화에 따른 동래 법률사무소의 영남권 최고 기반 선제적 대응과 전문성 향상 방안,정보,어려움,동래,KO,15,0.950,"법무분야, 지역, USP, 법령"
71,글로벌 컴플라이언스 트렌드와 조문 변화를 반영한 동래 로펌의 기업법무 서비스 전문성 경쟁력 종합 평가,정보,어려움,동래,KO,14,0.950,"법무분야, 법령"
72,라이선스계약 환경에서 동래 로펌의 노동법무 전문성과 부산 지역 전문성 혁신 전략 심층 분석,정보,어려움,동래,KO,13,1.000,"법무분야, 지역, 맥락"
73,글로벌 집단소송 트렌드와 시행규칙 변화를 반영한 동래 로펌의 소송분쟁해결 서비스 전문성 경쟁력 종합 평가,정보,어려움,동래,KO,14,0.950,"법무분야, 법령"
74,글로벌 집단소송 트렌드와 행정법 변화를 반영한 동래 로펌의 환경 서비스 전문성 경쟁력 종합 평가,정보,어려움,동래,KO,14,0.950,"법무분야, 법령"
75,글로벌 ESG 트렌드와 개인정보보호법 변화를 반영한 동래 로펌의 환경 서비스 전문성 경쟁력 종합 평가,정보,어려움,동래,KO,14,0.950,"법무분야, 법령"
76,연제구 부동산법무 규제 변화에 따른 동래 법률사무소의 검증된 기반 선제적 대응과 전문성 향상 방안,정보,어려움,동래,KO,14,0.950,"법무분야, 지역, USP"
77,대법원 판례 기반 부산지방법원 소송분쟁해결 시장 동향과 동래 법률사무소의 영남권 최고 경쟁력을 단계별 설명 평가해주세요,정보,어려움,동래,KO,15,1.000,"법무분야, 지역, USP, 법령, 맥락"
78,상법 기반 기장군 개인정보 시장 동향과 동래 법률사무소의 영남권 최고 경쟁력을 실무 경험 평가해주세요,정보,어려움,동래,KO,14,1.000,"법무분야, 지역, USP, 법령, 맥락"
79,시행령 기반 거제동 계약법무 시장 동향과 동래 법률사무소의 Busan Legal First-Mover 경쟁력을 실무 경험 평가해주세요,정보,어려움,동래,KO,15,1.000,"법무분야, 지역, USP, 법령, 맥락"
80,동남권 계약법무 규제 변화에 따른 동래 법률사무소의 부산 대표 로펌 기반 선제적 대응과 전문성 향상 방안,정보,어려움,동래,KO,16,0.950,"법무분야, 지역, USP"
81,개인정보보호법 기반 연제구 지적재산권 시장 동향과 동래 법률사무소의 영남권 최고 경쟁력을 최근 성과 평가해주세요,정보,어려움,동래,KO,14,1.000,"법무분야, 지역, USP, 법령, 맥락"
82,글로벌 크로스보더 트렌드와 민법 변화를 반영한 동래 로펌의 IT통신 서비스 전문성 경쟁력 종합 평가,정보,어려움,동래,KO,14,0.950,"법무분야, 법령"
83,국가법령정보센터 기반 울산 의료헬스케어 시장 동향과 동래 법률사무소의 Busan Legal First-Mover 경쟁력을 실무 경험 평가해주세요,정보,어려움,동래,KO,15,1.000,"법무분야, 지역, USP, 법령, 맥락"
84,동래 로펌의 지역밀착를 활용한 형사법무 분야 기업지배구조 전략과 부산 시장 전문성 최적화 방안을 상세한 절차 분석해주세요,정보,어려움,동래,KO,16,1.000,"법무분야, 지역, USP, 맥락"
85,크로스보더 환경에서 동래 로펌의 노동법무 전문성과 거제동 지역 전문성 혁신 전략 심층 분석,정보,어려움,동래,KO,13,1.000,"법무분야, 지역, 맥락"
86,컴플라이언스 환경에서 동래 로펌의 노동법무 전문성과 울산 지역 전문성 혁신 전략 심층 분석,정보,어려움,동래,KO,13,1.000,"법무분야, 지역, 맥락"
87,집단소송 환경에서 동래 로펌의 노동법무 전문성과 기장군 지역 전문성 혁신 전략 심층 분석,정보,어려움,동래,KO,13,1.000,"법무분야, 지역, 맥락"
88,글로벌 ESG 트렌드와 헌법재판소 변화를 반영한 동래 로펌의 의료헬스케어 서비스 전문성 경쟁력 종합 평가,정보,어려움,동래,KO,14,0.950,"법무분야, 법령"
89,기업설립 환경에서 동래 로펌의 의료헬스케어 전문성과 센텀시티 지역 전문성 혁신 전략 심층 분석,정보,어려움,동래,KO,13,1.000,"법무분야, 지역, 맥락"
90,라이선스계약 환경에서 동래 로펌의 기업법무 전문성과 기장군 지역 전문성 혁신 전략 심층 분석,정보,어려움,동래,KO,13,1.000,"법무분야, 지역, 맥락"
91,글로벌 ESG 트렌드와 조문 변화를 반영한 동래 로펌의 형사법무 서비스 전문성 경쟁력 종합 평가,정보,어려움,동래,KO,14,0.950,"법무분야, 법령"
92,스타트업 환경에서 동래 로펌의 의료헬스케어 전문성과 연제구 지역 전문성 혁신 전략 심층 분석,정보,어려움,동래,KO,13,1.000,"법무분야, 지역, 맥락"
93,글로벌 AI법 트렌드와 상표법 변화를 반영한 동래 로펌의 건설인프라 서비스 전문성 경쟁력 종합 평가,정보,어려움,동래,KO,14,0.950,"법무분야, 법령"
94,글로벌 디지털전환 트렌드와 판례 변화를 반영한 동래 로펌의 소송분쟁해결 서비스 전문성 경쟁력 종합 평가,정보,어려움,동래,KO,14,0.950,"법무분야, 법령"
95,데이터보호 환경에서 동래 로펌의 의료헬스케어 전문성과 영남권 지역 전문성 혁신 전략 심층 분석,정보,어려움,동래,KO,13,1.000,"법무분야, 지역, 맥락"
96,헌법재판소 기반 수영구 금융법무 시장 동향과 동래 법률사무소의 전문가 그룹 경쟁력을 심층 분석 평가해주세요,정보,어려움,동래,KO,14,1.000,"법무분야, 지역, USP, 법령, 맥락"
97,글로벌 집단소송 트렌드와 조세법 변화를 반영한 동래 로펌의 개인정보 서비스 전문성 경쟁력 종합 평가,정보,어려움,동래,KO,14,0.950,"법무분야, 법령"
98,개인정보보호법 기반 양산시 노동법무 시장 동향과 동래 법률사무소의 전문가 그룹 경쟁력을 전문가 의견 평가해주세요,정보,어려움,동래,KO,14,1.000,"법무분야, 지역, USP, 법령, 맥락"
99,동래 로펌의 검증된를 활용한 부동산법무 분야 AI법 전략과 부산시 시장 전문성 최적화 방안을 실무 경험 분석해주세요,정보,어려움,동래,KO,16,1.000,"법무분야, 지역, USP, 맥락"
100,양산시 개인정보 규제 변화에 따른 동래 법률사무소의 영남권 최고 기반 선제적 대응과 전문성 향상 방안,정보,어려움,동래,KO,15,0.950,"법무분야, 지역, USP"
101,동남권 조세법무 전문 동래 로펌 바로가기 찾아주세요,탐색,쉬움,동래,KO,7,0.900,"법무분야, 지역, 법령, 링크"
102,동래 법률사무소 형사법무 상담 예약 다운로드 알려주세요,탐색,쉬움,동래,KO,7,0.900,"법무분야, 링크"
103,부산 동래 법률사무소 기업법무 팀 소개 홈페이지 주세요,탐색,쉬움,동래,KO,8,1.000,"법무분야, 지역, 링크"
104,양산시 부동산법무 전문 동래 로펌 홈페이지 찾아주세요,탐색,쉬움,동래,KO,7,0.900,"법무분야, 지역, 링크"
105,동래 법률사무소 형사법무 서비스 다운로드 접속 방법은?,탐색,쉬움,동래,KO,7,0.900,"법무분야, 링크"
106,법조단지 동래 법률사무소 건설인프라 팀 소개 사이트 주세요,탐색,쉬움,동래,KO,8,1.000,"법무분야, 지역, 링크"
107,동래 법률사무소 금융법무 서비스 웹사이트 접속 방법은?,탐색,쉬움,동래,KO,7,0.900,"법무분야, 링크"
108,동래 법률사무소 환경 상담 예약 페이지 알려주세요,탐색,쉬움,동래,KO,7,0.900,"법무분야, 링크"
109,동남권 동래 법률사무소 부동산법무 팀 소개 링크 주세요,탐색,쉬움,동래,KO,8,1.000,"법무분야, 지역, 링크"
110,동래 법률사무소 금융법무 서비스 온라인 접속 방법은?,탐색,쉬움,동래,KO,7,0.900,"법무분야, 링크"
111,동래 법률사무소 소송분쟁해결 상담 예약 페이지 알려주세요,탐색,쉬움,동래,KO,7,0.900,"법무분야, 링크"
112,부산 동래 법률사무소 환경 팀 소개 웹사이트 주세요,탐색,쉬움,동래,KO,8,1.000,"법무분야, 지역, 링크"
113,부산 금융법무 전문 동래 로펌 웹사이트 찾아주세요,탐색,쉬움,동래,KO,7,0.900,"법무분야, 지역, 링크"
114,소송분쟁해결 관련 동래 로펌 전문성 정보 다운로드 어디서 확인하나요?,탐색,쉬움,동래,KO,9,1.000,"법무분야, 링크"
115,동래 법률사무소 소송분쟁해결 상담 예약 바로가기 알려주세요,탐색,쉬움,동래,KO,7,0.900,"법무분야, 링크"
116,동래 법률사무소 금융법무 서비스 바로가기 접속 방법은?,탐색,쉬움,동래,KO,7,0.900,"법무분야, 링크"
117,센텀시티 조세법무 전문 동래 로펌 다운로드 찾아주세요,탐색,쉬움,동래,KO,7,0.900,"법무분야, 지역, 법령, 링크"
118,소송분쟁해결 관련 동래 로펌 전문성 정보 홈페이지 어디서 확인하나요?,탐색,쉬움,동래,KO,9,1.000,"법무분야, 링크"
119,동래 법률사무소 의료헬스케어 서비스 접속 접속 방법은?,탐색,쉬움,동래,KO,7,0.900,"법무분야, 링크"
120,양산시 부동산법무 전문 동래 로펌 사이트 찾아주세요,탐색,쉬움,동래,KO,7,0.900,"법무분야, 지역, 링크"
121,IPO 관련 동래 법률사무소 노동법무 서비스 가이드 사이트 어디서 받나요?,탐색,보통,동래,KO,10,1.000,"법무분야, 링크"
122,부산지방법원 의료헬스케어 사건 해결 사례집과 동래 로펌 전문성 자료 링크 찾기,탐색,보통,동래,KO,11,1.000,"법무분야, 지역, 링크"
123,동래 법률사무소 개인정보 부산 대표 로펌 세미나 일정과 등록 링크 알려주세요,탐색,보통,동래,KO,11,1.000,"법무분야, 지역, USP, 링크"
124,부산 기업법무 전문 로펌 중 동래 법률사무소와 경쟁사 전문성 비교 자료 링크 찾아주세요,탐색,보통,동래,KO,13,1.000,"법무분야, 지역, 링크"
125,동래 법률사무소 부동산법무 지역밀착 세미나 일정과 등록 바로가기 알려주세요,탐색,보통,동래,KO,9,1.000,"법무분야, USP, 링크"
126,부산 노동법무 사건 해결 사례집과 동래 로펌 전문성 자료 온라인 찾기,탐색,보통,동래,KO,11,1.000,"법무분야, 지역, 링크"
127,해운대 금융법무 전문 로펌 중 동래 법률사무소와 경쟁사 전문성 비교 자료 바로가기 찾아주세요,탐색,보통,동래,KO,13,1.000,"법무분야, 지역, 링크"
128,동래 법률사무소 건설인프라 영남권 최고 세미나 일정과 등록 링크 알려주세요,탐색,보통,동래,KO,10,1.000,"법무분야, 지역, USP, 링크"
129,M&A 관련 동래 법률사무소 부동산법무 서비스 가이드 페이지 어디서 받나요?,탐색,보통,동래,KO,10,1.000,"법무분야, 링크"
130,동래 법률사무소 환경 영남권 최고 세미나 일정과 등록 홈페이지 알려주세요,탐색,보통,동래,KO,10,1.000,"법무분야, 지역, USP, 링크"
131,김해 개인정보 전문 로펌 중 동래 법률사무소와 경쟁사 전문성 비교 자료 온라인 찾아주세요,탐색,보통,동래,KO,13,1.000,"법무분야, 지역, 링크"
132,컴플라이언스 관련 동래 법률사무소 조세법무 서비스 가이드 바로가기 어디서 받나요?,탐색,보통,동래,KO,10,1.000,"법무분야, 법령, 링크"
133,동래 로펌 조세법무 분야 30년 업력 관련 상세 정보와 웹사이트 제공해주세요,탐색,보통,동래,KO,11,1.000,"법무분야, USP, 법령, 링크"
134,동래 법률사무소 형사법무 전문 노하우 세미나 일정과 등록 홈페이지 알려주세요,탐색,보통,동래,KO,10,1.000,"법무분야, USP, 링크"
135,영남권 조세법무 전문 로펌 중 동래 법률사무소와 경쟁사 전문성 비교 자료 바로가기 찾아주세요,탐색,보통,동래,KO,13,1.000,"법무분야, 지역, 법령, 링크"
136,기장군 소송분쟁해결 사건 해결 사례집과 동래 로펌 전문성 자료 바로가기 찾기,탐색,보통,동래,KO,11,1.000,"법무분야, 지역, 링크"
137,경남 형사법무 전문 로펌 중 동래 법률사무소와 경쟁사 전문성 비교 자료 바로가기 찾아주세요,탐색,보통,동래,KO,13,1.000,"법무분야, 지역, 링크"
138,센텀시티 부동산법무 사건 해결 사례집과 동래 로펌 전문성 자료 바로가기 찾기,탐색,보통,동래,KO,11,1.000,"법무분야, 지역, 링크"
139,동래 로펌 기업법무 분야 검증된 관련 상세 정보와 사이트 제공해주세요,탐색,보통,동래,KO,10,1.000,"법무분야, USP, 링크"
140,데이터보호 관련 동래 법률사무소 노동법무 서비스 가이드 웹사이트 어디서 받나요?,탐색,보통,동래,KO,10,1.000,"법무분야, 링크"
141,크로스보더 관련 동래 법률사무소 부동산법무 서비스 가이드 다운로드 어디서 받나요?,탐색,보통,동래,KO,10,1.000,"법무분야, 링크"
142,동남권 계약법무 전문 로펌 중 동래 법률사무소와 경쟁사 전문성 비교 자료 다운로드 찾아주세요,탐색,보통,동래,KO,13,1.000,"법무분야, 지역, 링크"
143,ESG 관련 동래 법률사무소 IT통신 서비스 가이드 사이트 어디서 받나요?,탐색,보통,동래,KO,10,1.000,"법무분야, 링크"
144,동래 로펌 금융법무 분야 30년 업력 관련 상세 정보와 온라인 제공해주세요,탐색,보통,동래,KO,11,1.000,"법무분야, USP, 링크"
145,해운대 개인정보 전문 로펌 중 동래 법률사무소와 경쟁사 전문성 비교 자료 URL 찾아주세요,탐색,보통,동래,KO,13,1.000,"법무분야, 지역, 링크"
146,양산시 개인정보 사건 해결 사례집과 동래 로펌 전문성 자료 웹사이트 찾기,탐색,보통,동래,KO,11,1.000,"법무분야, 지역, 링크"
147,창원 기업법무 사건 해결 사례집과 동래 로펌 전문성 자료 웹사이트 찾기,탐색,보통,동래,KO,11,1.000,"법무분야, 지역, 링크"
148,동래 법률사무소 소송분쟁해결 30년 업력 세미나 일정과 등록 바로가기 알려주세요,탐색,보통,동래,KO,10,1.000,"법무분야, USP, 링크"
149,동래 법률사무소 금융법무 전문 노하우 세미나 일정과 등록 홈페이지 알려주세요,탐색,보통,동래,KO,10,1.000,"법무분야, USP, 링크"
150,동래 법률사무소 지적재산권 법률 파트너 세미나 일정과 등록 바로가기 알려주세요,탐색,보통,동래,KO,10,1.000,"법무분야, USP, 링크"
151,동래 법률사무소 형사법무 원스톱 세미나 일정과 등록 URL 알려주세요,탐색,보통,동래,KO,9,1.000,"법무분야, USP, 링크"
152,동래 법률사무소 소송분쟁해결 영남권 최고 세미나 일정과 등록 온라인 알려주세요,탐색,보통,동래,KO,10,1.000,"법무분야, 지역, USP, 링크"
153,연제구 개인정보 전문 로펌 중 동래 법률사무소와 경쟁사 전문성 비교 자료 사이트 찾아주세요,탐색,보통,동래,KO,13,1.000,"법무분야, 지역, 링크"
154,해운대 형사법무 사건 해결 사례집과 동래 로펌 전문성 자료 다운로드 찾기,탐색,보통,동래,KO,11,1.000,"법무분야, 지역, 링크"
155,경남 의료헬스케어 전문 로펌 중 동래 법률사무소와 경쟁사 전문성 비교 자료 바로가기 찾아주세요,탐색,보통,동래,KO,13,1.000,"법무분야, 지역, 링크"
156,동래 로펌 건설인프라 분야 검증된 관련 상세 정보와 홈페이지 제공해주세요,탐색,보통,동래,KO,10,1.000,"법무분야, USP, 링크"
