prompt,query,sample_id,template_used,extracted_keywords_practice_area,extracted_keywords_region,extracted_keywords_metric,extracted_keywords_intent,extracted_keywords_difficulty,final_parameters_practice_area,final_parameters_metric,final_parameters_region,final_parameters_time_span,final_parameters_source_hint,final_parameters_language_ratio,final_parameters_intent,final_parameters_difficulty,brand_info_name,brand_info_description,brand_info_website,brand_info_slogan,brand_info_concept,brand_info_target,brand_info_specialties,brand_info_products,brand_info_features
중국 지역 해커톤 노트 교환정책 현황 알려주세요,중국 지역 해커톤 노트 교환정책 현황 알려주세요,iovu_optimized_0001,{country} 지역 {tech_keyword} {product} {metric} 현황 알려주세요,해커톤 노트,중국,교환정책,정보,쉬움,해커톤 노트,교환정책,중국,올해,IT 뉴스,KO 0.8 : EN 0.2,정보,쉬움,,,,,,,,,
iOVU 배포 노트의 사이즈 정보가 필요해요,iOVU 배포 노트의 사이즈 정보가 필요해요,iovu_optimized_0002,iOVU {tech_keyword} {product}의 {metric} 정보가 필요해요,배포 노트,한국,사이즈,정보,쉬움,배포 노트,사이즈,한국,최근 1년,IT 뉴스,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
데브옵스 관련 iOVU 에코백 인기도가 궁금합니다,데브옵스 관련 iOVU 에코백 인기도가 궁금합니다,iovu_optimized_0003,{tech_keyword} 관련 {product} {metric}가 궁금합니다,데브옵스 에코백,싱가포르,인기도,정보,쉬움,데브옵스 에코백,인기도,싱가포르,올해,IT 뉴스,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
깃허브 관련 상품 내구성가 궁금합니다,깃허브 관련 상품 내구성가 궁금합니다,iovu_optimized_0004,{tech_keyword} 관련 {product} {metric}가 궁금합니다,깃허브 상품,독일,내구성,정보,쉬움,깃허브 상품,내구성,독일,최근 3개월,개발자 포럼,KO 0.8 : EN 0.2,정보,쉬움,,,,,,,,,
백엔드 관련 iOVU 뱃지 배송기간가 궁금합니다,백엔드 관련 iOVU 뱃지 배송기간가 궁금합니다,iovu_optimized_0005,{tech_keyword} 관련 {product} {metric}가 궁금합니다,백엔드 뱃지,중국,배송기간,정보,쉬움,백엔드 뱃지,배송기간,중국,올해,쇼핑몰 리뷰,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
iOVU 너드 뱃지의 인기도 정보가 필요해요,iOVU 너드 뱃지의 인기도 정보가 필요해요,iovu_optimized_0006,iOVU {tech_keyword} {product}의 {metric} 정보가 필요해요,너드 뱃지,싱가포르,인기도,정보,쉬움,너드 뱃지,인기도,싱가포르,최근 1년,쇼핑몰 리뷰,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
버그 개발자를 위한 머그컵 인기도 정보 필요합니다,버그 개발자를 위한 머그컵 인기도 정보 필요합니다,iovu_optimized_0007,{tech_keyword} 개발자를 위한 {product} {metric} 정보 필요합니다,버그 머그컵,베트남,인기도,정보,쉬움,버그 머그컵,인기도,베트남,최근 3개월,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,쉬움,,,,,,,,,
테크 펜의 만족도 정보가 필요해요,테크 펜의 만족도 정보가 필요해요,iovu_optimized_0008,iOVU {tech_keyword} {product}의 {metric} 정보가 필요해요,테크 펜,태국,만족도,정보,쉬움,테크 펜,만족도,태국,최근 3개월,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,쉬움,,,,,,,,,
iOVU에서 판매하는 버그 마우스패드 배송기간 알려주세요,iOVU에서 판매하는 버그 마우스패드 배송기간 알려주세요,iovu_optimized_0009,iOVU에서 판매하는 {tech_keyword} {product} {metric} 알려주세요,버그 마우스패드,프랑스,배송기간,정보,쉬움,버그 마우스패드,배송기간,프랑스,최근 3개월,쇼핑몰 리뷰,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
미국 지역 리팩토링 iOVU 키링 평점 현황 알려주세요,미국 지역 리팩토링 iOVU 키링 평점 현황 알려주세요,iovu_optimized_0010,{country} 지역 {tech_keyword} {product} {metric} 현황 알려주세요,리팩토링 키링,미국,평점,정보,쉬움,리팩토링 키링,평점,미국,올해,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
한국 풀스택들이 선호하는 iOVU 악세서리 사이즈 알려주세요,한국 풀스택들이 선호하는 iOVU 악세서리 사이즈 알려주세요,iovu_optimized_0011,{country} {tech_keyword}들이 선호하는 {product} {metric} 알려주세요,풀스택 악세서리,한국,사이즈,정보,쉬움,풀스택 악세서리,사이즈,한국,최근 1년,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
iOVU 밈굿즈 커뮤니티에서 인기있는 머천다이즈 교환정책 궁금해요,iOVU 밈굿즈 커뮤니티에서 인기있는 머천다이즈 교환정책 궁금해요,iovu_optimized_0012,{tech_keyword} 커뮤니티에서 인기있는 {product} {metric} 궁금해요,밈굿즈 머천다이즈,한국,교환정책,정보,쉬움,밈굿즈 머천다이즈,교환정책,한국,최근 1년,IT 뉴스,KO 0.8 : EN 0.2,정보,쉬움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
iOVU 베트남 데브옵스들이 선호하는 맨투맨 품질 알려주세요 안전하게요,iOVU 베트남 데브옵스들이 선호하는 맨투맨 품질 알려주세요 안전하게요,iovu_optimized_0013,{country} {tech_keyword}들이 선호하는 {product} {metric} 알려주세요,데브옵스 맨투맨,베트남,품질,정보,보통,데브옵스 맨투맨,품질,베트남,최근 1년,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
iOVU 온라인쇼핑 머그컵의 교환정책 정보가 필요해요 빠르게 빠르게.,iOVU 온라인쇼핑 머그컵의 교환정책 정보가 필요해요 빠르게 빠르게.,iovu_optimized_0014,iOVU {tech_keyword} {product}의 {metric} 정보가 필요해요,온라인쇼핑 머그컵,일본,교환정책,정보,보통,온라인쇼핑 머그컵,교환정책,일본,2024년,개발자 포럼,KO 0.8 : EN 0.2,정보,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
iOVU 싱가포르 지역 소프트웨어 머그컵 디자인 현황 알려주세요 정확히요,iOVU 싱가포르 지역 소프트웨어 머그컵 디자인 현황 알려주세요 정확히요,iovu_optimized_0015,{country} 지역 {tech_keyword} {product} {metric} 현황 알려주세요,소프트웨어 머그컵,싱가포르,디자인,정보,보통,소프트웨어 머그컵,디자인,싱가포르,2024년,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
싱가포르 버그들이 선호하는 파우치 프린팅품질 알려주세요 정확히 빠르게요,싱가포르 버그들이 선호하는 파우치 프린팅품질 알려주세요 정확히 빠르게요,iovu_optimized_0016,{country} {tech_keyword}들이 선호하는 {product} {metric} 알려주세요,버그 파우치,싱가포르,프린팅품질,정보,보통,버그 파우치,프린팅품질,싱가포르,2024년,IT 뉴스,KO 0.8 : EN 0.2,정보,보통,,,,,,,,,
GitHub 관련 iOVU 핀 내구성가 궁금합니다 안전하게요,GitHub 관련 iOVU 핀 내구성가 궁금합니다 안전하게요,iovu_optimized_0017,{tech_keyword} 관련 {product} {metric}가 궁금합니다,GitHub 핀,태국,내구성,정보,보통,GitHub 핀,내구성,태국,2024년,개발자 포럼,KO 0.8 : EN 0.2,정보,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
태국 온라인쇼핑들이 선호하는 iOVU 머그컵 사이즈 알려주세요 안전하게요,태국 온라인쇼핑들이 선호하는 iOVU 머그컵 사이즈 알려주세요 안전하게요,iovu_optimized_0018,{country} {tech_keyword}들이 선호하는 {product} {metric} 알려주세요,온라인쇼핑 머그컵,태국,사이즈,정보,보통,온라인쇼핑 머그컵,사이즈,태국,최근 1년,IT 뉴스,KO 0.8 : EN 0.2,정보,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
소프트웨어 커뮤니티에서 인기있는 iOVU 맨투맨 배송기간 궁금해요 빠르게요,소프트웨어 커뮤니티에서 인기있는 iOVU 맨투맨 배송기간 궁금해요 빠르게요,iovu_optimized_0019,{tech_keyword} 커뮤니티에서 인기있는 {product} {metric} 궁금해요,소프트웨어 맨투맨,호주,배송기간,정보,보통,소프트웨어 맨투맨,배송기간,호주,2024년,쇼핑몰 리뷰,KO 0.8 : EN 0.2,정보,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
에서 판매하는 온라인쇼핑 토트백 착용감 알려주세요 안전하게 빠르게요,에서 판매하는 온라인쇼핑 토트백 착용감 알려주세요 안전하게 빠르게요,iovu_optimized_0020,iOVU에서 판매하는 {tech_keyword} {product} {metric} 알려주세요,온라인쇼핑 토트백,캐나다,착용감,정보,보통,온라인쇼핑 토트백,착용감,캐나다,2024년,IT 뉴스,KO 0.8 : EN 0.2,정보,보통,,,,,,,,,
iOVU 개발 커뮤니티에서 인기있는 뱃지 할인율 궁금해요 정확히 빠르게요,iOVU 개발 커뮤니티에서 인기있는 뱃지 할인율 궁금해요 정확히 빠르게요,iovu_optimized_0021,{tech_keyword} 커뮤니티에서 인기있는 {product} {metric} 궁금해요,개발 뱃지,베트남,할인율,정보,보통,개발 뱃지,할인율,베트남,최근 3개월,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
iOVU 프론트엔드 개발자를 위한 티셔츠 가격 정보 필요합니다 자세히.,iOVU 프론트엔드 개발자를 위한 티셔츠 가격 정보 필요합니다 자세히.,iovu_optimized_0022,{tech_keyword} 개발자를 위한 {product} {metric} 정보 필요합니다,프론트엔드 티셔츠,미국,가격,정보,보통,프론트엔드 티셔츠,가격,미국,최근 3개월,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,보통,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
에서 판매하는 백엔드 굿즈 가격 알려주세요 자세히 안전하게요,에서 판매하는 백엔드 굿즈 가격 알려주세요 자세히 안전하게요,iovu_optimized_0023,iOVU에서 판매하는 {tech_keyword} {product} {metric} 알려주세요,백엔드 굿즈,한국,가격,정보,보통,백엔드 굿즈,가격,한국,최근 3개월,쇼핑몰 리뷰,KO 0.8 : EN 0.2,정보,보통,,,,,,,,,
전문적인 관점에서 풀스택 아이템의 품질 정보가 필요해요 자세히.,전문적인 관점에서 풀스택 아이템의 품질 정보가 필요해요 자세히.,iovu_optimized_0024,iOVU {tech_keyword} {product}의 {metric} 정보가 필요해요,풀스택 아이템,독일,품질,정보,어려움,풀스택 아이템,품질,독일,2024년,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,어려움,,,,,,,,,
최신 트렌드를 반영해서 일본에서 데이터구조 마우스패드 소재 정보 알려주세요 자세히요,최신 트렌드를 반영해서 일본에서 데이터구조 마우스패드 소재 정보 알려주세요 자세히요,iovu_optimized_0025,{country}에서 {tech_keyword} {product} {metric} 정보 알려주세요,데이터구조 마우스패드,일본,소재,정보,어려움,데이터구조 마우스패드,소재,일본,올해,쇼핑몰 리뷰,KO 0.8 : EN 0.2,정보,어려움,,,,,,,,,
최신 트렌드를 반영해서 앱개발 관련 iOVU 스티커 사이즈가 궁금합니다 정확히요,최신 트렌드를 반영해서 앱개발 관련 iOVU 스티커 사이즈가 궁금합니다 정확히요,iovu_optimized_0026,{tech_keyword} 관련 {product} {metric}가 궁금합니다,앱개발 스티커,호주,사이즈,정보,어려움,앱개발 스티커,사이즈,호주,2024년,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,어려움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
상세한 정보와 함께 한국 알고리즘들이 선호하는 후드티 교환정책 알려주세요 추천해주세요,상세한 정보와 함께 한국 알고리즘들이 선호하는 후드티 교환정책 알려주세요 추천해주세요,iovu_optimized_0027,{country} {tech_keyword}들이 선호하는 {product} {metric} 알려주세요,알고리즘 후드티,한국,교환정책,정보,어려움,알고리즘 후드티,교환정책,한국,최근 3개월,개발자 포럼,KO 0.8 : EN 0.2,정보,어려움,,,,,,,,,
전문적인 관점에서 호주 소프트웨어들이 선호하는 토트백 사이즈 알려주세요 빠르게요,전문적인 관점에서 호주 소프트웨어들이 선호하는 토트백 사이즈 알려주세요 빠르게요,iovu_optimized_0028,{country} {tech_keyword}들이 선호하는 {product} {metric} 알려주세요,소프트웨어 토트백,호주,사이즈,정보,어려움,소프트웨어 토트백,사이즈,호주,최근 1년,개발자 커뮤니티,KO 0.8 : EN 0.2,정보,어려움,,,,,,,,,
전문적인 관점에서 태국에서 커밋 iOVU 마우스패드 가격 정보 알려주세요 빠르게요,전문적인 관점에서 태국에서 커밋 iOVU 마우스패드 가격 정보 알려주세요 빠르게요,iovu_optimized_0029,{country}에서 {tech_keyword} {product} {metric} 정보 알려주세요,커밋 마우스패드,태국,가격,정보,어려움,커밋 마우스패드,가격,태국,최근 3개월,IT 뉴스,KO 0.8 : EN 0.2,정보,어려움,iOVU,개발자를 위한 밈 굿즈 브랜드,https://iovu-shop.vercel.app/,개발자를 위한 귀여운 반란,Dev + Cute = iOVU,"IT 개발자, 너디 감성을 즐기는 사람들","개발자 밈, 너디 패션, 코딩 유머, 힐링 개발템","티셔츠, 후드티, 에코백, 스티커, 머그컵, 노트북 스티커","고품질 프린팅, 편안한 착용감, 트렌디한 디자인, 합리적 가격"
상세한 정보와 함께 한국 디버깅들이 선호하는 노트 할인율 알려주세요 자세히요,상세한 정보와 함께 한국 디버깅들이 선호하는 노트 할인율 알려주세요 자세히요,iovu_optimized_0030,{country} {tech_keyword}들이 선호하는 {product} {metric} 알려주세요,디버깅 노트,한국,할인율,정보,어려움,디버깅 노트,할인율,한국,최근 3개월,개발자 포럼,KO 0.8 : EN 0.2,정보,어려움,,,,,,,,,
